iter	Passed	Remaining
0	178	178296
1	221	110718
2	259	86325
3	302	75292
4	339	67534
5	378	62634
6	418	59306
7	458	56905
8	499	55001
9	542	53750
10	589	53033
11	630	51890
12	673	51156
13	720	50778
14	768	50497
15	800	49248
16	830	48012
17	864	47149
18	912	47104
19	960	47046
20	1003	46771
21	1041	46291
22	1071	45535
23	1101	44784
24	1132	44159
25	1172	43937
26	1209	43578
27	1238	43006
28	1267	42445
29	1296	41919
30	1327	41507
31	1359	41132
32	1390	40731
33	1419	40339
34	1449	39962
35	1478	39585
36	1507	39236
37	1536	38897
38	1571	38725
39	1603	38477
40	1633	38206
41	1664	37970
42	1693	37696
43	1722	37432
44	1751	37176
45	1783	36983
46	1815	36804
47	1850	36695
48	1881	36520
49	1914	36379
50	1946	36225
51	1980	36101
52	2013	35977
53	2045	35838
54	2077	35702
55	2111	35601
56	2142	35440
57	2171	35274
58	2204	35164
59	2241	35114
60	2281	35116
61	2322	35139
62	2356	35051
63	2394	35021
64	2432	34989
65	2472	34985
66	2509	34941
67	2559	35076
68	2603	35134
69	2642	35106
70	2676	35020
71	2711	34948
72	2761	35062
73	2801	35062
74	2838	35002
75	2880	35016
76	2922	35029
77	2961	35007
78	3011	35113
79	3050	35082
80	3088	35040
81	3132	35069
82	3171	35041
83	3211	35025
84	3250	34995
85	3292	34996
86	3329	34937
87	3365	34877
88	3406	34869
89	3443	34819
90	3480	34770
91	3519	34732
92	3556	34684
93	3594	34648
94	3632	34605
95	3667	34534
96	3701	34456
97	3741	34433
98	3781	34411
99	3814	34328
100	3849	34262
101	3884	34201
102	3920	34146
103	3959	34109
104	3998	34085
105	4035	34033
106	4072	33984
107	4107	33926
108	4146	33894
109	4183	33844
110	4219	33791
111	4261	33785
112	4297	33735
113	4331	33665
114	4369	33625
115	4399	33530
116	4438	33499
117	4477	33469
118	4518	33448
119	4556	33414
120	4592	33360
121	4628	33309
122	4662	33243
123	4696	33181
124	4735	33147
125	4769	33081
126	4804	33025
127	4842	32992
128	4880	32955
129	4917	32911
130	4957	32888
131	4993	32836
132	5028	32780
133	5071	32776
134	5118	32799
135	5171	32852
136	5211	32829
137	5254	32819
138	5288	32757
139	5325	32713
140	5367	32699
141	5415	32719
142	5450	32666
143	5495	32665
144	5532	32624
145	5565	32554
146	5601	32506
147	5637	32451
148	5675	32415
149	5712	32372
150	5751	32339
151	5785	32276
152	5818	32210
153	5850	32140
154	5884	32081
155	5920	32033
156	5954	31972
157	5995	31948
158	6026	31876
159	6055	31790
160	6092	31748
161	6131	31718
162	6176	31713
163	6225	31733
164	6266	31711
165	6300	31654
166	6334	31597
167	6365	31525
168	6403	31486
169	6443	31458
170	6492	31475
171	6530	31439
172	6569	31402
173	6607	31364
174	6649	31349
175	6683	31290
176	6724	31265
177	6770	31264
178	6812	31247
179	6854	31225
180	6892	31186
181	6931	31153
182	6965	31097
183	7009	31085
184	7044	31035
185	7082	30995
186	7118	30947
187	7157	30915
188	7194	30872
189	7228	30815
190	7264	30771
191	7302	30731
192	7338	30682
193	7373	30633
194	7409	30585
195	7446	30544
196	7490	30534
197	7527	30489
198	7574	30487
199	7614	30458
200	7648	30403
201	7682	30348
202	7717	30298
203	7753	30252
204	7789	30207
205	7822	30152
206	7858	30104
207	7900	30082
208	7936	30037
209	7974	29999
210	8008	29946
211	8045	29904
212	8081	29860
213	8120	29825
214	8154	29772
215	8188	29721
216	8226	29684
217	8262	29639
218	8301	29603
219	8335	29552
220	8371	29508
221	8406	29461
222	8440	29409
223	8482	29385
224	8513	29323
225	8550	29282
226	8586	29239
227	8623	29199
228	8657	29146
229	8689	29089
230	8726	29051
231	8765	29015
232	8807	28992
233	8843	28948
234	8887	28932
235	8924	28892
236	8957	28839
237	8997	28807
238	9034	28765
239	9079	28751
240	9117	28716
241	9156	28681
242	9195	28645
243	9229	28594
244	9265	28553
245	9298	28500
246	9336	28462
247	9368	28406
248	9397	28344
249	9426	28280
250	9457	28222
251	9492	28176
252	9524	28122
253	9555	28064
254	9585	28004
255	9614	27943
256	9644	27882
257	9673	27820
258	9703	27761
259	9734	27705
260	9765	27650
261	9795	27592
262	9824	27531
263	9854	27472
264	9882	27410
265	9911	27350
266	9942	27296
267	9972	27238
268	10002	27180
269	10032	27123
270	10063	27070
271	10102	27037
272	10140	27004
273	10180	26974
274	10226	26959
275	10261	26918
276	10293	26867
277	10322	26809
278	10351	26750
279	10380	26692
280	10410	26637
281	10442	26588
282	10478	26547
283	10508	26492
284	10537	26436
285	10566	26379
286	10595	26323
287	10629	26277
288	10659	26224
289	10690	26172
290	10720	26119
291	10750	26065
292	10779	26011
293	10808	25955
294	10838	25901
295	10867	25848
296	10898	25797
297	10930	25749
298	10961	25699
299	10990	25644
300	11019	25590
301	11048	25536
302	11078	25484
303	11111	25438
304	11145	25396
305	11176	25349
306	11206	25296
307	11238	25250
308	11271	25206
309	11304	25160
310	11336	25116
311	11368	25068
312	11398	25017
313	11428	24967
314	11460	24921
315	11489	24868
316	11517	24815
317	11548	24766
318	11577	24716
319	11607	24666
320	11637	24615
321	11666	24564
322	11695	24512
323	11723	24460
324	11757	24418
325	11788	24372
326	11819	24325
327	11850	24279
328	11880	24231
329	11910	24181
330	11939	24131
331	11969	24082
332	11998	24033
333	12028	23985
334	12058	23936
335	12088	23888
336	12127	23858
337	12157	23811
338	12188	23765
339	12221	23724
340	12253	23679
341	12284	23634
342	12316	23590
343	12348	23548
344	12383	23511
345	12416	23468
346	12454	23438
347	12487	23395
348	12530	23374
349	12559	23325
350	12588	23275
351	12617	23227
352	12647	23180
353	12677	23134
354	12707	23087
355	12738	23044
356	12778	23016
357	12807	22967
358	12836	22920
359	12867	22875
360	12899	22833
361	12932	22792
362	12962	22746
363	12992	22700
364	13020	22652
365	13049	22604
366	13078	22557
367	13110	22515
368	13139	22469
369	13170	22425
370	13200	22379
371	13229	22333
372	13259	22288
373	13289	22244
374	13319	22198
375	13350	22155
376	13384	22118
377	13419	22081
378	13451	22040
379	13485	22002
380	13517	21961
381	13550	21921
382	13580	21878
383	13611	21834
384	13641	21790
385	13671	21747
386	13700	21701
387	13729	21655
388	13758	21610
389	13791	21570
390	13821	21527
391	13851	21484
392	13882	21442
393	13912	21398
394	13941	21354
395	13970	21309
396	14000	21265
397	14030	21221
398	14059	21177
399	14090	21135
400	14119	21091
401	14148	21047
402	14177	21002
403	14206	20957
404	14237	20917
405	14269	20876
406	14299	20834
407	14331	20794
408	14360	20750
409	14389	20706
410	14424	20671
411	14457	20633
412	14497	20605
413	14533	20571
414	14570	20538
415	14605	20503
416	14641	20469
417	14674	20432
418	14713	20401
419	14750	20369
420	14788	20339
421	14830	20312
422	14868	20281
423	14904	20247
424	14944	20219
425	14980	20185
426	15017	20152
427	15056	20122
428	15087	20081
429	15128	20054
430	15165	20021
431	15202	19987
432	15243	19960
433	15277	19923
434	15316	19893
435	15355	19864
436	15415	19859
437	15457	19832
438	15491	19796
439	15524	19758
440	15561	19725
441	15597	19690
442	15631	19654
443	15668	19621
444	15712	19597
445	15750	19563
446	15784	19527
447	15818	19490
448	15855	19457
449	15900	19433
450	15940	19404
451	15984	19378
452	16022	19347
453	16059	19313
454	16102	19287
455	16138	19252
456	16169	19212
457	16210	19183
458	16246	19148
459	16276	19107
460	16307	19066
461	16337	19025
462	16367	18983
463	16402	18948
464	16437	18912
465	16470	18873
466	16513	18847
467	16551	18814
468	16586	18779
469	16626	18749
470	16664	18716
471	16706	18688
472	16746	18657
473	16786	18627
474	16821	18592
475	16864	18564
476	16904	18534
477	16943	18503
478	16981	18470
479	17020	18438
480	17057	18405
481	17096	18373
482	17134	18340
483	17171	18307
484	17213	18278
485	17251	18245
486	17301	18224
487	17339	18192
488	17377	18159
489	17413	18124
490	17450	18090
491	17487	18056
492	17524	18021
493	17568	17995
494	17603	17959
495	17634	17918
496	17665	17878
497	17694	17836
498	17729	17800
499	17761	17761
500	17792	17721
501	17822	17680
502	17853	17640
503	17884	17600
504	17916	17561
505	17953	17527
506	17986	17489
507	18018	17451
508	18052	17414
509	18084	17375
510	18114	17335
511	18143	17293
512	18172	17251
